Country,Country_Code,Year,total_pop,pop_dens_sq_km,urban_pop_perc,rural_pop_perc,elect_access_pop,ren_energy_cons_perc,clean_fuel_tech_cook_pop,co2_emiss_excl_lulucf,Gini coefficient (2021 prices),perceptions of criminality,homicide rate,police rate,incarceration rate,Access to small arms,intensity of internal conflict,violent demonstrations,Violent crime,Political instability,Political Terror Scale,weapons imports,terrorism impact,deaths from internal conflict,internal conflicts fought,military expenditure (% gdp),armed services personnel rate,un peacekeeping funding,nuclear and heavy weapons,weapons exports,refugees and idps,Neighbouring countries relations,external conflicts fought,deaths From external conflict,overall score,internal peace,external peace,safety and security,ongoing conflict,militarisation,"Agriculture, forestry, and fishing, value added (% of GDP)",Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Access to electricity (% of population),Adjusted savings: energy depletion (% of GNI),Adjusted savings: carbon dioxide damage (% of GNI),Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (annual % growth)"
Austria,AUT,2009,8343323.0,101.106677169171,57.683,42.317,100.0,31.3,100.0,67.9079,0.31494907,1.9,1.271,2.604,1.778,2.0,1.0,1.5,1.0,1.25,2.0,1.907,1.384,1.0,1.0,1.33,1.637,1.122,1.056,1.486,1.0,1.0,1.25,1.0,1.352,1.484,1.155,1.535,1.023,1.507,1.17655306368833,0.118771524132107,0.0400329106931119,100.0,0.0776229563214441,0.443024369869997,100.0,-7.02867528850713
Austria,AUT,2010,8363404.0,101.350024236549,57.399,42.601,100.0,31.1,100.0,73.581,0.30251664,2.0,1.348,2.599,1.81,2.0,1.0,1.5,1.5,1.0,1.5,2.286,1.384,1.0,1.0,1.368,1.637,1.122,1.055,1.619,1.0,1.0,1.375,1.0,1.369,1.493,1.181,1.526,1.034,1.579,1.29288595990855,0.134346763625082,0.0484573591225784,100.0,0.0812464922746426,0.505448396586171,100.0,-6.00555851192136
Austria,AUT,2011,8391643.0,101.692232186137,57.115,42.885,100.0,31.6,100.0,71.9557,0.30801058,1.95,1.305,2.595,1.81,2.0,1.0,1.5,1.5,1.0,2.0,2.248,1.384,1.0,1.0,1.406,1.468,1.315,1.054,1.818,1.0,1.0,1.375,1.0,1.399,1.527,1.207,1.575,1.034,1.617,1.46130648071081,0.156884420705329,0.0479460287329818,100.0,0.102713353962844,0.470143738047691,100.0,15.3489158550082
Austria,AUT,2012,8429991.0,102.156943771207,57.147,42.853,100.0,34.4,100.0,68.8985,0.30475616,1.75,1.364,2.644,1.802,2.0,1.0,1.5,1.5,1.0,1.5,2.245,1.384,1.0,1.0,1.378,1.469,1.266,1.053,1.783,1.0,1.0,1.5,1.0,1.371,1.479,1.208,1.509,1.046,1.601,1.41768134316306,0.168682443235827,0.0418616934623879,100.0,0.121362430517088,0.493630014642571,100.0,-6.5911077010019
Austria,AUT,2013,8479823.0,102.760821619001,57.336,42.664,100.0,34.6,100.0,69.4999,0.30752906,1.7,1.458,2.651,1.802,2.0,1.0,1.5,1.0,1.0,1.0,1.808,1.219,1.0,1.0,1.373,1.412,1.217,1.052,1.638,1.0,1.0,1.5,1.0,1.299,1.375,1.184,1.389,1.046,1.511,1.27784992108872,0.149227841292337,0.0404650786468084,100.0,0.102807587041594,0.492729210437232,100.0,-6.89768487699449
Austria,AUT,2014,8546356.0,103.567086766844,57.526,42.474,100.0,35.7,100.0,65.8761,0.30535373,1.7,1.48,2.648,1.802,2.0,1.0,1.5,1.0,1.0,1.0,1.502,1.12,1.0,1.0,1.382,1.411,1.198,1.051,1.679,1.0,1.0,1.5,1.0,1.291,1.36,1.188,1.386,1.046,1.481,1.27555801772568,0.135585373616233,0.0403134117701216,100.0,0.0920033862680556,0.471439612378293,100.0,7.99056694430809
Austria,AUT,2015,8642699.0,104.734597673291,57.715,42.285,100.0,34.8,100.0,67.2562,0.3053083,1.9,1.359,2.638,1.802,2.0,1.0,1.5,1.0,1.0,1.0,1.039,1.0,1.0,1.0,1.354,1.396,1.113,1.051,1.585,1.0,1.0,1.5,1.0,1.27,1.337,1.169,1.381,1.046,1.395,1.14362854172989,0.0923158273899009,0.0407159277667915,100.0,0.0499583558453872,0.581431471832498,100.0,-4.21017568753832
Austria,AUT,2016,8736668.0,105.873339796413,57.905,42.095,100.0,34.6,100.0,67.6656,0.3079514,1.9,1.246,2.632,1.77,2.0,1.0,1.5,1.0,1.0,1.0,1.032,1.0,1.0,1.0,1.335,1.391,1.028,1.051,1.405,1.0,1.0,1.625,1.0,1.256,1.325,1.152,1.364,1.057,1.349,1.14928264077268,0.0677950635081036,0.0348138024715943,100.0,0.0308944650482151,0.577767642266926,100.0,5.21989920392039
Austria,AUT,2017,8797566.0,106.61131846825,58.094,41.906,100.0,34.0,100.0,69.9541,0.2973693,2.0,1.254,2.617,1.77,2.0,1.0,2.0,1.0,1.0,1.5,1.043,1.785,1.0,1.0,1.349,1.376,1.426,1.053,1.292,1.0,1.0,1.6,1.0,1.329,1.438,1.166,1.522,1.055,1.378,1.19990203076681,0.0776420103252036,0.0331755870463297,100.0,0.041704775264542,0.596177045272606,100.0,-1.03817985890988
Austria,AUT,2018,8840521.0,107.131858943286,58.297,41.703,100.0,34.1,100.0,66.9575,0.3084742,1.9,1.309,2.655,1.778,2.0,1.0,1.5,1.0,1.0,1.0,1.049,1.559,1.0,1.0,1.363,1.373,1.457,1.053,1.287,1.0,1.0,1.525,1.0,1.279,1.356,1.163,1.407,1.048,1.383,1.10911414021412,0.100695375466333,0.0450196188503379,100.0,0.0556757566159948,0.548372051254847,100.0,2.84827096647255
Austria,AUT,2019,8879920.0,107.609306834707,58.515,41.485,100.0,34.0,100.0,68.5563,0.30210516,1.8,1.398,2.664,1.778,2.0,1.0,1.75,1.0,1.0,1.0,1.05,1.479,1.0,1.0,1.359,1.364,1.29,1.053,1.224,1.0,1.0,1.5,1.0,1.279,1.371,1.141,1.427,1.046,1.35,1.04463413653499,0.0769953294396026,0.0333158189096718,100.0,0.0436795105299308,0.595751007127447,100.0,-1.44773754669532
Austria,AUT,2020,8916864.0,108.057004362579,58.748,41.252,100.0,35.8,100.0,62.6299,0.29800698,1.55,1.486,2.71,1.746,2.0,1.0,2.25,1.0,1.0,1.0,1.075,1.296,1.0,1.0,1.349,1.391,1.085,1.054,1.184,1.0,1.0,1.475,1.0,1.282,1.388,1.122,1.45,1.044,1.324,1.07138113272871,0.0420824027177127,0.0227695688847169,100.0,0.0193128338329958,0.570601334873526,100.0,-3.06894322141029
Belarus,BLR,2008,9527985.0,46.9585563473992,73.726,26.274,93.2,7.1,98.1,64.4619,0.27826044,3.15,4.029,2.67,4.635,3.0,3.0,2.25,2.0,2.875,3.0,1.211,2.683,1.0,1.0,1.473,2.141,1.23,2.139,1.508,1.017,3.0,1.0,1.0,2.242,2.63,1.661,2.799,1.805,1.885,8.66625369440669,0.953222849348561,0.0,93.2,0.953222849348561,2.70858823875374,98.1,8.60654614120359
Belarus,BLR,2009,9504583.0,46.8441433626748,74.172,25.828,93.8,7.4,98.5,61.352,0.27689305,3.15,3.196,2.678,4.635,3.0,3.0,2.25,2.0,2.75,2.5,1.212,2.683,1.0,1.0,1.473,2.151,1.23,1.984,1.984,1.019,3.0,1.0,1.0,2.183,2.508,1.696,2.628,1.805,1.943,8.13089893610657,0.582971057081757,0.0,93.8,0.582971057081757,3.18575449847899,98.5,0.283387303321007
Belarus,BLR,2010,9483836.0,46.7409685463919,74.672,25.328,94.4,7.3,98.7,65.8561,0.285666,3.0,2.948,2.684,4.31,3.0,3.0,2.25,2.0,2.75,3.0,1.217,2.683,1.0,1.0,1.645,2.151,1.23,1.83,2.049,1.019,3.0,1.0,1.0,2.179,2.5,1.699,2.617,1.805,1.948,8.89193022882009,0.616456716938427,0.0,94.4,0.616456716938427,3.14380807542919,98.7,2.3101624644041
Belarus,BLR,2011,9461643.0,46.6297521068454,75.188,24.812,95.0,7.5,99.0,62.6977,0.2715255,2.65,2.78,2.688,4.31,3.0,3.0,2.25,2.0,3.25,2.5,1.208,2.683,1.0,1.0,1.588,2.182,1.31,1.675,2.359,1.02,3.0,1.0,1.0,2.166,2.463,1.719,2.566,1.805,1.981,8.00188774430829,0.923988873565311,0.0,95.0,0.923988873565311,2.85950494043189,99.0,7.39158389874972
Belarus,BLR,2012,9446836.0,46.5593029044007,75.697,24.303,95.6,7.2,99.2,63.98,0.26526198,2.4,2.556,2.691,3.417,3.0,3.0,2.25,2.0,3.25,2.5,1.114,2.683,1.0,1.0,1.325,2.174,1.8,1.52,2.52,1.021,3.0,1.0,1.0,2.115,2.369,1.736,2.44,1.805,1.997,8.13094268308472,0.833241769452533,0.0,95.6,0.833241769452533,2.90017289996995,99.2,6.07929793050172
Belarus,BLR,2013,9443211.0,46.5393725235082,76.199,23.801,96.2,7.0,99.3,64.1533,0.26575053,2.35,2.485,2.694,3.417,3.0,3.0,2.25,2.0,3.25,2.5,1.224,2.409,1.0,1.0,1.402,1.774,1.749,1.366,2.782,1.022,3.0,1.0,1.0,2.1,2.353,1.721,2.411,1.805,1.985,6.80909244753712,0.674665253485934,0.0,96.2,0.674665253485934,2.66096742659149,99.3,-3.59657200570349
Belarus,BLR,2014,9448515.0,46.5506003261518,76.693,23.307,96.8,6.7,99.4,63.6974,0.27176666,2.45,2.398,2.696,3.488,3.0,3.0,2.25,2.0,3.25,2.5,1.333,2.132,1.0,1.0,1.43,1.776,2.179,1.211,2.911,1.015,3.0,1.0,1.0,2.109,2.349,1.749,2.399,1.805,2.047,7.30305697730942,0.582752214875627,0.0,96.8,0.582752214875627,2.62056762145828,99.4,2.51130472294801
Belarus,BLR,2015,9461076.0,46.611337189252,77.181,22.819,97.4,6.8,99.5,59.0118,0.25633225,2.5,2.38,2.696,3.488,3.0,3.0,2.25,2.0,3.25,3.0,1.425,1.847,1.0,1.0,1.507,1.77,2.624,1.087,3.082,1.015,3.0,1.0,1.0,2.147,2.385,1.791,2.443,1.805,2.127,6.2832075832437,0.360540198229026,0.0,97.4,0.360540198229026,3.52603147270319,99.5,-2.4136964187097
Belarus,BLR,2016,9469379.0,46.6499448243246,77.661,22.339,98.0,6.7,99.5,58.9515,0.25306615,2.5,2.397,2.694,3.929,3.0,3.0,1.0,2.0,3.375,2.5,1.567,1.612,1.0,1.0,1.473,1.769,1.603,1.089,3.024,1.014,3.0,1.0,1.0,2.064,2.3,1.71,2.316,1.805,2.01,6.89528062433517,0.31270290026627,0.0,98.0,0.31270290026627,4.35465871968589,99.5,3.93699142042712
Belarus,BLR,2017,9458989.0,46.5987595325832,78.134,21.866,98.7,7.3,99.6,60.1134,0.2544457,2.45,2.359,2.692,3.929,3.0,3.0,1.5,2.0,3.0,2.0,1.632,1.0,1.0,1.0,1.507,1.768,1.402,1.117,3.176,1.013,3.0,1.0,1.0,2.024,2.228,1.717,2.212,1.805,2.029,7.56580253848292,0.402399785871238,0.0,98.7,0.402399785871238,3.97891433347243,99.6,4.39954429701115
Belarus,BLR,2018,9438785.0,46.5010592176569,78.595,21.405,99.3,7.2,99.7,63.4636,0.25240526,2.65,2.308,2.69,3.732,3.0,3.0,2.25,2.0,3.0,2.5,1.753,1.0,1.0,1.0,1.464,1.768,1.568,1.118,3.048,1.013,3.0,1.0,1.0,2.076,2.318,1.713,2.331,1.805,2.036,6.59010772590188,0.658180369708939,0.0,99.3,0.658180369708939,3.98985826757181,99.7,-3.44545367012239
Belarus,BLR,2019,9419758.0,46.4107506220284,79.044,20.956,100.0,7.8,99.7,61.3005,0.25277847,2.65,2.132,2.69,3.732,3.0,3.0,1.5,2.0,3.0,3.0,1.852,1.0,1.0,1.0,1.478,1.727,1.099,1.121,2.507,1.012,3.0,1.0,1.0,2.03,2.303,1.62,2.303,1.805,1.894,6.79466882799274,0.515174521131171,0.0,100.0,0.515174521131171,3.76037952551413,99.7,2.92271430343629
Belarus,BLR,2020,9379952.0,46.211212927382,79.483,20.517,100.0,8.4,99.7,58.0941,0.24383356,2.45,2.096,2.693,3.732,3.0,3.0,1.0,2.0,3.0,3.0,2.247,1.0,1.0,1.0,1.483,1.73,1.066,1.125,2.465,1.012,3.0,1.0,1.0,2.009,2.272,1.614,2.237,1.805,1.931,7.07723976895662,0.292100099087634,0.0,100.0,0.292100099087634,4.0627724042275,99.7,4.75375455005693
Belgium,BEL,2008,10709973.0,353.079912966077,97.555,2.44499999999999,100.0,4.0,100.0,114.3278,0.2837373,2.35,2.256,2.847,1.73,2.0,1.0,1.0,2.0,1.0,1.5,1.293,1.177,1.0,1.0,1.478,1.574,1.667,1.196,1.8,1.0,1.0,1.4,1.0,1.441,1.562,1.259,1.681,1.037,1.589,0.712338067185966,0.0179266058840974,0.0179266058840974,100.0,0.0,0.541555160545305,100.0,0.609864831128078
Belgium,BEL,2009,10796493.0,355.932252002769,97.603,2.39700000000001,100.0,4.9,100.0,107.0745,0.2855119,2.35,2.25,2.822,1.73,2.0,1.0,1.0,2.0,1.25,1.5,1.51,1.177,1.0,1.0,1.478,1.559,1.667,1.194,2.321,1.0,1.0,1.525,1.0,1.484,1.59,1.324,1.708,1.048,1.704,0.718679660856589,0.0170006778971711,0.0170006778971711,100.0,0.0,0.559204632448288,100.0,4.90251683800071
Belgium,BEL,2010,10895586.0,359.199090099891,97.651,2.349,100.0,6.2,100.0,114.6444,0.2837483,2.35,2.245,2.801,1.77,2.0,1.0,1.0,2.0,1.0,1.5,1.596,1.177,1.0,1.0,1.492,1.559,1.667,1.191,2.798,1.0,1.0,1.65,1.0,1.498,1.574,1.385,1.679,1.06,1.8,0.847918635049212,0.0398098652431534,0.018994257931132,100.0,0.0208156073120214,0.623937705455658,100.0,8.50538978812556
Belgium,BEL,2011,11038264.0,363.902812118814,97.698,2.30200000000001,100.0,6.7,100.0,104.2439,0.2806044,2.4,2.237,2.846,1.77,2.0,1.0,1.0,2.0,1.25,1.5,1.63,1.177,1.0,1.0,1.521,1.543,1.348,1.189,2.408,1.0,1.0,1.675,1.0,1.49,1.602,1.324,1.716,1.062,1.698,0.726239843441003,0.0528989513216863,0.0175187867748547,100.0,0.0353801645468316,0.549031035235705,100.0,0.516972905636877
Belgium,BEL,2012,11106932.0,366.166617215574,97.744,2.256,100.0,7.7,100.0,102.773,0.274905,2.3,2.229,2.825,1.81,2.0,1.0,1.0,2.0,1.25,1.5,1.634,1.177,1.0,1.0,1.502,1.486,1.606,1.187,2.521,1.0,1.0,1.625,1.0,1.495,1.596,1.344,1.708,1.057,1.74,0.84457469539348,0.0490222452712663,0.0149345223109174,100.0,0.0340877229603489,0.583069069412876,100.0,1.95811129012269
Belgium,BEL,2013,11159407.0,367.896581281113,97.789,2.211,100.0,8.3,100.0,104.1691,0.27668858,2.25,2.223,2.714,1.81,2.0,1.0,1.0,2.0,1.25,1.0,1.453,1.093,1.0,1.0,1.507,1.471,1.606,1.185,2.484,1.0,1.0,1.625,1.0,1.455,1.532,1.339,1.629,1.057,1.711,0.764565477908541,0.0446456773684696,0.0141359055223198,100.0,0.0305097718461498,0.583996286011436,100.0,-8.5814999392245
Belgium,BEL,2014,11209057.0,369.533412455082,97.833,2.167,100.0,9.1,100.0,97.4685,0.28134012,2.6,2.218,2.726,1.833,2.0,1.0,1.0,2.0,1.25,1.0,1.27,1.049,1.0,1.0,1.459,1.442,1.237,1.183,2.066,1.0,1.0,1.625,1.0,1.433,1.546,1.263,1.66,1.057,1.563,0.716518219283319,0.0500772787085524,0.0128936547821888,100.0,0.0371836239263636,0.55524112709379,100.0,7.58542746975137
Belgium,BEL,2015,11274196.0,371.680875614018,97.876,2.124,100.0,9.4,100.0,102.0938,0.2772931,2.3,2.215,2.726,1.833,2.0,1.0,2.0,2.0,1.25,1.0,1.282,1.757,1.0,1.0,1.445,1.416,1.432,1.183,1.499,1.0,1.0,1.675,1.0,1.46,1.621,1.218,1.763,1.062,1.482,0.750617272066574,0.0232551807362152,0.0110375471450875,100.0,0.0122176335911277,0.705499599794752,100.0,15.0775505159735
Belgium,BEL,2016,11331422.0,373.567467774371,97.919,2.081,100.0,9.2,100.0,101.0047,0.2758074,2.45,2.212,2.689,1.746,2.0,1.0,1.75,2.0,1.25,1.0,1.302,1.634,1.0,1.0,1.416,1.415,1.259,1.191,1.499,1.0,1.0,1.85,1.0,1.449,1.602,1.219,1.736,1.078,1.462,0.673190543684684,0.0196059927277674,0.0106821305442346,100.0,0.0089238621835328,0.703991276528088,100.0,-7.35917950920904
Belgium,BEL,2017,11375158.0,375.009329772855,97.961,2.039,100.0,9.7,100.0,99.4023,0.2738765,2.45,2.207,2.675,1.746,3.0,1.0,2.25,2.0,1.25,1.0,1.277,2.965,2.009,1.421,1.387,1.397,1.279,1.187,1.249,1.0,1.0,1.95,1.0,1.607,1.879,1.198,1.856,1.334,1.588,0.729532583142538,0.0253236544948642,0.0094501364017378,100.0,0.0158735180931264,0.683778612411988,100.0,4.85436893203884
Belgium,BEL,2018,11427054.0,374.74351490506,98.001,1.999,100.0,10.7,100.0,100.1343,0.272142,2.4,2.204,2.663,1.714,3.0,1.0,2.25,2.0,1.25,1.0,1.249,2.708,1.0,1.421,1.43,1.385,1.236,1.184,1.239,1.0,1.0,1.875,1.0,1.529,1.755,1.19,1.833,1.124,1.581,0.664625571120094,0.0333638162585183,0.0106170479606182,100.0,0.0227467682979001,0.66948185740955,100.0,-9.12658927584302
Belgium,BEL,2019,11488980.0,376.761985964452,98.041,1.959,100.0,10.2,100.0,100.0509,0.27219555,2.65,2.201,2.672,1.714,3.0,1.0,2.5,2.0,1.25,1.0,1.195,2.506,1.16,1.684,1.425,1.353,1.124,1.175,1.159,1.0,1.0,1.975,1.0,1.555,1.807,1.178,1.865,1.192,1.541,0.718789583537128,0.0292646260442942,0.0083172027699912,100.0,0.0209474232743029,0.701062091308238,100.0,4.53190583368819
Belgium,BEL,2020,11538604.0,378.38932248967,98.079,1.92100000000001,100.0,12.3,100.0,92.3731,0.2595828,2.75,2.198,2.646,1.714,3.0,1.0,3.25,2.0,1.25,1.0,1.088,2.208,1.0,1.684,1.43,1.35,1.049,1.176,1.281,1.0,1.0,1.9,1.0,1.567,1.825,1.18,1.92,1.153,1.541,0.712818023641571,0.0188316271658004,0.007552600638735,100.0,0.0112790265270654,0.684119807553361,100.0,-3.81459497206704
Bolivia,BOL,2008,9850858.0,9.09337948859965,65.535,34.465,84.7,21.3,72.9,12.7492,0.5081494,3.9,2.926,2.392,1.595,4.0,2.0,1.5,3.0,3.5,2.5,1.026,1.216,1.0,1.0,1.593,1.648,3.0,1.024,1.0,1.001,2.0,1.0,1.0,1.95,2.311,1.409,2.421,1.403,1.918,10.4424041155226,7.22106813617078,0.0,84.7,4.64697988317579,2.18022002160229,72.9,2.61498017645623
Bolivia,BOL,2009,10016275.0,9.24607680236315,65.984,34.016,86.8,20.6,74.4,13.5964,0.49220297,3.75,2.902,2.73,1.595,4.0,3.0,1.5,3.0,3.375,2.5,1.022,1.216,1.0,1.0,1.593,1.721,3.0,1.024,1.0,1.002,2.0,1.0,1.0,2.015,2.415,1.414,2.42,1.604,1.926,11.1524074497311,3.67483057417577,0.0,86.8,2.40245305245818,2.31993524172204,74.4,3.68193913437405
Bolivia,BOL,2010,10182345.0,9.39937690390474,66.43,33.57,88.0,19.9,75.8,14.7076,0.49220297,4.1,2.878,2.758,1.738,4.0,3.0,1.5,3.0,3.0,2.5,1.028,1.216,1.0,1.0,1.669,1.721,3.0,1.024,1.0,1.002,2.0,1.0,1.0,2.017,2.415,1.419,2.419,1.604,1.936,10.3899057010594,5.17973155626643,0.0,88.0,2.65289965051354,2.31085197525213,75.8,-1.17807965274108
Bolivia,BOL,2011,10348929.0,9.55315148158405,66.874,33.126,88.3,18.1,77.2,16.0021,0.46080363,3.7,2.855,2.775,1.738,4.0,3.0,1.5,3.0,3.25,1.5,1.027,1.216,1.0,1.0,1.66,1.684,1.8,1.023,1.0,1.002,2.0,1.0,1.0,1.928,2.326,1.331,2.294,1.604,1.789,9.7695858816954,8.19110829600501,0.0,88.3,4.25945816500806,2.15625862027964,77.2,3.05587322317098
Bolivia,BOL,2012,10515807.0,9.7071974522293,67.315,32.685,90.4,17.4,78.6,16.9694,0.4657997,3.8,2.833,2.77,2.079,4.0,3.0,1.5,3.0,3.375,2.0,1.048,1.216,1.0,1.0,1.593,1.685,3.0,1.023,1.0,1.002,2.0,1.0,1.0,2.007,2.405,1.411,2.404,1.604,1.925,9.8121619148328,9.57864996948549,0.0,90.4,7.05617528245952,2.12624466725687,78.6,4.14943857422156
