region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Europe & Central Asia,ECS,Albania,ALB,2016,national,HBS,national,2016,consumption,2,2014 - 2017,3,0.011406198,0.001448849,3.06E-04,0.00163332,13.33587722,10.93401095,0.187580582,0.337362987,0.314380354,0.029695863,0.043512688,0.054228764,0.064288083,0.07519773,0.088967034,0.10520704,0.127040351,0.161402137,0.250460311,0.913885667,50.77230453,2876101,4143.989883,3220.904482,FALSE,micro,survey,6.767,0.214639823,3.038517368,
Europe & Central Asia,ECS,Albania,ALB,2016,national,SILC-C,national,2016,income,4,2016 - 2018,3,0.103503873,0.035201926,0.018581995,0.053176905,10.58267652,8.656101962,0.273720043,0.385655743,0.350360082,0.018382741,0.034852509,0.047918269,0.06081378,0.073589767,0.088671506,0.105685435,0.129208139,0.166303124,0.274574731,0.913885667,50.77230453,2876101,4143.989883,3220.904482,FALSE,micro,survey,5.628,0.294915684,4.958164152,
Europe & Central Asia,ECS,Albania,ALB,2017,national,HBS,national,2017,consumption,2,2014 - 2017,3,0.014444441,0.002208794,5.23E-04,0.002535715,13.20734074,10.84116021,0.179908465,0.330556627,0.308522265,0.030917738,0.04458799,0.054791035,0.065082411,0.076048936,0.089085788,0.10544003,0.127174153,0.160816011,0.246055907,0.932041474,50.77230453,2873457,4283.982627,3234.625511,FALSE,micro,survey,6.721,0.209629291,3.028759545,
Europe & Central Asia,ECS,Albania,ALB,2017,national,SILC-C,national,2017,income,4,2016 - 2018,3,0.088681989,0.030330272,0.015213915,0.044460598,11.0788324,9.263284524,0.25417493,0.370951267,0.332536624,0.018980409,0.036448519,0.050092096,0.063295776,0.076485841,0.09074706,0.106507626,0.129066837,0.163898014,0.264477822,0.932041474,50.77230453,2873457,4283.982627,3234.625511,FALSE,micro,survey,5.932,0.276048544,4.545554794,
Europe & Central Asia,ECS,Albania,ALB,2018,national,HBS,national,2018,consumption,3,2018 - 2020,3,0.010100295,0.001031908,1.62E-04,0.001126372,14.17069889,12.38662632,0.152404414,0.301482817,0.265930116,0.031707358,0.047677766,0.059737454,0.070730734,0.08134095,0.093449786,0.107498982,0.125959462,0.154551693,0.227345815,0.95094379,50.77230453,2866376,4452.237147,3337.689485,FALSE,micro,survey,7.493,0.190251438,2.701914763,
Europe & Central Asia,ECS,Albania,ALB,2018,national,SILC-C,national,2018,income,4,2016 - 2018,3,0.065904681,0.020855818,0.009724904,0.029398817,11.5962489,9.789741719,0.233051287,0.359887519,0.319245033,0.021491021,0.038550208,0.051452789,0.063934622,0.077324685,0.091300763,0.106735367,0.126765477,0.162682972,0.259762096,0.95094379,50.77230453,2866376,4452.237147,3337.689485,FALSE,micro,survey,6.195,0.264003919,4.062998715,
Europe & Central Asia,ECS,Albania,ALB,2019,national,HBS,national,2019,consumption,3,2018 - 2020,3,0.002723695,1.77E-04,1.69E-05,1.86E-04,14.63181831,12.35634906,0.147458802,0.301157683,0.262333875,0.035359826,0.04978341,0.060216892,0.06945585,0.079254147,0.090381969,0.103833308,0.123283361,0.152291704,0.236139533,0.964362462,50.77230453,2854191,4563.467363,3460.239311,FALSE,micro,survey,7.478,0.162653804,2.551434413,
Europe & Central Asia,ECS,Albania,ALB,2020,national,HBS,national,2020,consumption,3,2018 - 2020,3,0.003409224,3.53E-04,5.07E-05,3.82E-04,14.84715767,12.83860125,0.142736286,0.294196298,0.256354313,0.034180198,0.050261743,0.0608962,0.071092496,0.081097451,0.092200085,0.105630869,0.124418394,0.152666423,0.22755614,0.979993712,50.77230453,2837849,4437.653469,3285.182069,FALSE,micro,survey,7.719,0.164397298,2.512495132,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,United Arab Emirates,ARE,2013,national,HIES,national,2013.42,income,0,2013 - 2018,3,0,0,0,0,74.66292328,67.13230929,0.192562088,0.325104209,0.323312354,0.023497327,0.038642841,0.053066228,0.067383153,0.082186396,0.09817662,0.116355091,0.13842758,0.16791161,0.214353155,0.922829019,2.727601767,7846922.78,43269.84047,17532.96092,FALSE,group,survey,34.866,0.20541,0.574808843,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,United Arab Emirates,ARE,2018,national,HIES,national,2018,income,0,2013 - 2018,3,0,0,0,0,81.18098022,76.5187921,0.135325418,0.263990044,0.206274012,0.028349686,0.053640054,0.068373006,0.079582258,0.089456066,0.099174769,0.109823266,0.123123812,0.143671644,0.204805441,1.039474412,2.727601767,9346701,42679.75191,17469.83412,FALSE,group,survey,39.559,0.12204,0.485331063,
Latin America & Caribbean,LCN,Argentina,ARG,1980,urban,EPH,urban,1980,income,0,1980 - 1991,3,0,0,0,0,35.47944662,27.12950653,0.287917587,0.408308603,0.372918597,0.020098564,0.032864355,0.044929877,0.056978585,0.069689034,0.083945641,0.101224627,0.124679982,0.16383563,0.301753706,0.01263222,42.98624039,23217972,10275.7987,,FALSE,group,survey,14.865,0.22458,1.394109201,
Latin America & Caribbean,LCN,Argentina,ARG,1986,urban,EPH,urban,1986,income,0,1980 - 1991,3,0.012647203,0.010216786,0.009136512,0.026426096,38.4267512,27.71604065,0.346515882,0.427975056,0.384633955,0.017775245,0.033569337,0.043552514,0.055175765,0.066639817,0.07984783,0.097334434,0.120926933,0.16327005,0.321908075,0.003237793,42.98624039,26327296,9378.468664,,FALSE,micro,survey,15.158,0.215938857,2.397319419,
Latin America & Caribbean,LCN,Argentina,ARG,1987,urban,EPH,urban,1987,income,0,1980 - 1991,3,0.014871475,0.00906259,0.007233129,0.021155627,35.12408732,24.42985897,0.380762302,0.452672896,0.410318439,0.015683745,0.030154685,0.041190907,0.051914356,0.06345039,0.077232987,0.095154654,0.119496159,0.163303275,0.342418842,0.007490139,42.98624039,26861787,9484.458766,,FALSE,micro,survey,13.515,0.228090952,2.362485904,
Latin America & Caribbean,LCN,Argentina,ARG,1991,urban,EPH,urban,1991,income,0,1980 - 1991,3,0.012815984,0.007090073,0.005143762,0.014929834,24.92435357,16.51407002,0.388671226,0.46754273,0.405788984,0.017507449,0.030553016,0.040586254,0.049992469,0.060608696,0.072388947,0.088960182,0.114114858,0.159224444,0.366063684,75.68900409,42.98624039,29019351,8729.823185,,FALSE,micro,survey,9.557,0.224134033,2.672737909,
Latin America & Caribbean,LCN,Argentina,ARG,1992,urban,EPH,urban,1992,income,1,1992 - 1997,3,0.02493956,0.012548529,0.009201011,0.026897147,25.13671119,17.27111197,0.380590134,0.454548422,0.427533049,0.016106317,0.03000314,0.040702039,0.051215941,0.062101475,0.076568848,0.094130321,0.120722265,0.16561101,0.342838644,0.008930438,42.98624039,29495987,9293.186923,,FALSE,micro,survey,9.936,0.24136814,3.056260313,
Latin America & Caribbean,LCN,Argentina,ARG,1993,urban,EPH,urban,1993,income,1,1992 - 1997,3,0.02912502,0.013827034,0.009525769,0.028293982,25.18957451,17.65203717,0.377574842,0.448430966,0.421860325,0.014935487,0.02965741,0.040989268,0.052187866,0.064167877,0.078969886,0.096698283,0.123451699,0.167092132,0.331850092,0.009722701,42.98624039,29969692,9920.673586,6116.878887,FALSE,micro,survey,10.126,0.24296265,3.084788729,
Latin America & Caribbean,LCN,Argentina,ARG,1994,urban,EPH,urban,1994,income,1,1992 - 1997,3,0.027062605,0.014938599,0.011411246,0.033439856,24.88627256,17.06884184,0.396114143,0.458980401,0.427191866,0.015096902,0.028806028,0.039567105,0.050678223,0.063134824,0.077171894,0.094989224,0.121058332,0.165160665,0.344336804,0.010081784,42.98624039,30446027,10359.89272,6401.707268,FALSE,micro,survey,9.834,0.247007817,3.387769847,
Latin America & Caribbean,LCN,Argentina,ARG,1995,urban,EPH,urban,1995,income,1,1992 - 1997,3,0.051193653,0.025445103,0.017777484,0.052064098,23.64115678,15.77831843,0.461284098,0.488780965,0.447631993,0.011502411,0.026301477,0.03685285,0.047332988,0.059122061,0.073580128,0.090705079,0.116850645,0.168141262,0.369611099,0.010300472,42.98624039,30919132,9934.107761,6041.77398,FALSE,micro,survey,9.189,0.267953653,4.16407634,
Latin America & Caribbean,LCN,Argentina,ARG,1996,urban,EPH,urban,1996,income,1,1992 - 1997,3,0.054114297,0.03018103,0.022622244,0.065818254,23.16050303,15.13741824,0.48567219,0.494905173,0.471092478,0.010571454,0.02480513,0.035550605,0.046428516,0.058318605,0.073007988,0.091961918,0.11978085,0.170956959,0.368617976,0.010321555,42.98624039,31382118,10352.14,6296.484532,FALSE,micro,survey,8.869,0.274472873,4.81616641,
Latin America & Caribbean,LCN,Argentina,ARG,1997,urban,EPH,urban,1997,income,1,1992 - 1997,3,0.052120193,0.02527039,0.017985409,0.052336093,24.26698023,16.20929379,0.469888209,0.490852412,0.473790993,0.010994912,0.024661894,0.035171907,0.046867869,0.05935986,0.073082135,0.092749025,0.120743064,0.172765821,0.363603512,0.010380482,42.98624039,31836802,11056.68813,6778.85126,FALSE,micro,survey,9.405,0.282428324,4.184862296,
Latin America & Caribbean,LCN,Argentina,ARG,1998,urban,EPH,urban,1998,income,2,1998 - 2002,3,0.05660222,0.025630331,0.016848693,0.0492538,23.56365322,14.82955919,0.493545999,0.50712707,0.4950568,0.010789993,0.02342655,0.033656996,0.044342998,0.056366621,0.070634125,0.090512524,0.119576852,0.170239614,0.380453726,0.010495306,42.98624039,32284187,11348.20221,6932.448043,FALSE,micro,survey,8.715,0.283324376,4.110240501,
Latin America & Caribbean,LCN,Argentina,ARG,1999,urban,EPH,urban,1999,income,2,1998 - 2002,3,0.059064209,0.027904827,0.019306617,0.056332494,22.46181415,14.72766156,0.481002854,0.497656215,0.485454552,0.010884709,0.024181726,0.034633073,0.045214038,0.057957967,0.072896079,0.091842408,0.120954722,0.171037645,0.370397633,0.010282301,42.98624039,32729606,10838.31993,6716.039092,FALSE,micro,survey,8.664,0.288543355,4.459001543,
Latin America & Caribbean,LCN,Argentina,ARG,2000,urban,EPH,urban,2000,income,2,1998 - 2002,3,0.073457251,0.032961761,0.022096094,0.064022158,21.97024545,14.0073222,0.51115101,0.51037963,0.50946201,0.009657948,0.02237258,0.032487886,0.04327103,0.055972728,0.071745458,0.091097455,0.122054837,0.174440383,0.376899695,0.010210462,42.98624039,33173290,10631.65036,6596.563946,FALSE,micro,survey,8.304,0.309325761,4.750332017,
Latin America & Caribbean,LCN,Argentina,ARG,2001,urban,EPH,urban,2001,income,2,1998 - 2002,3,0.107254811,0.054124359,0.036948453,0.10660352,20.23446373,12.5007951,0.583186207,0.532930388,0.539204145,0.006856288,0.01928976,0.030165942,0.04072747,0.053432561,0.069154936,0.089951408,0.120602802,0.175205517,0.394613316,0.010094974,42.98624039,33609880,10051.94485,6149.937053,FALSE,micro,survey,7.55,0.314593849,6.386010903,
Latin America & Caribbean,LCN,Argentina,ARG,2002,urban,EPH,urban,2002,income,2,1998 - 2002,3,0.170580395,0.069371968,0.038872331,0.113384757,14.21221216,8.575318381,0.557328131,0.537595534,0.535251269,0.008955458,0.01884818,0.028988164,0.040440661,0.053275966,0.068435756,0.086830243,0.116631977,0.172622885,0.40497071,0.013980291,42.98624039,34040070,8861.561993,5211.135531,FALSE,micro,survey,5.588,0.343618572,6.683960142,
Latin America & Caribbean,LCN,Argentina,ARG,2003,urban,EPHC-S2,urban,2003,income,3,2003 - 2024,3,0.081873603,0.029953144,0.016047676,0.048116828,20.09143048,12.64442111,0.49373645,0.509944563,0.51353682,0.010675478,0.022175545,0.032116822,0.0435865,0.055681204,0.071183182,0.092434307,0.122539999,0.172135416,0.377471546,0.014530158,42.98624039,34461202,9545.531941,5578.895038,FALSE,micro,survey,7.622,0.303750919,4.178647784,
Latin America & Caribbean,LCN,Argentina,ARG,2004,urban,EPHC-S2,urban,2004,income,3,2003 - 2024,3,0.060202084,0.020643101,0.010545164,0.032054122,21.65700003,14.65760304,0.441200449,0.484835314,0.47784676,0.011980749,0.023807899,0.034664446,0.046334332,0.060004047,0.075639139,0.095640842,0.12545925,0.17347854,0.352990756,0.015338319,42.98624039,34879982,10302.44653,6047.233189,FALSE,micro,survey,8.629,0.29759726,3.467751681,
Latin America & Caribbean,LCN,Argentina,ARG,2005,urban,EPHC-S2,urban,2005,income,3,2003 - 2024,3,0.044246016,0.014754505,0.007455482,0.023000727,23.82204982,16.26177368,0.426015015,0.478102857,0.46501017,0.012544286,0.024917855,0.035695411,0.047581462,0.06086114,0.076405859,0.096366868,0.124527187,0.171466476,0.349633457,0.01698997,42.98624039,35307267,11099.75092,6427.895284,FALSE,micro,survey,9.431,0.284071296,3.037686158,
Latin America & Caribbean,LCN,Argentina,ARG,2006,urban,EPHC-S2,urban,2006,income,3,2003 - 2024,3,0.034641247,0.012293834,0.006554029,0.01947524,26.40904756,18.57827269,0.404999768,0.464444956,0.44893269,0.012867053,0.026185524,0.037457344,0.04941522,0.062910186,0.078956353,0.09932285,0.12564247,0.169270481,0.337972519,0.018748285,42.98624039,35739148,11870.27916,7059.190142,FALSE,micro,survey,10.589,0.273078919,2.675063769,
Latin America & Caribbean,LCN,Argentina,ARG,2007,urban,EPHC-S2,urban,2007,income,3,2003 - 2024,3,0.027588847,0.010012637,0.005504432,0.016645135,27.24091946,19.2113331,0.397932789,0.46282585,0.446214208,0.013920508,0.026676933,0.037135069,0.049283824,0.062915828,0.078841057,0.099171354,0.125222313,0.169467017,0.337366097,0.022953762,42.98624039,36161548,12811.90212,7642.317127,FALSE,micro,survey,10.906,0.278454583,2.563577645,
Latin America & Caribbean,LCN,Argentina,ARG,2008,urban,EPHC-S2,urban,2008,income,3,2003 - 2024,3,0.026231124,0.009389381,0.00510196,0.015333179,27.88138672,20.08889569,0.377243706,0.449867632,0.432233298,0.014039694,0.027722952,0.039417248,0.051436465,0.064606706,0.080358234,0.099960973,0.127461091,0.170333108,0.324663528,0.028807117,42.98624039,36595981,13197.35703,8113.379065,FALSE,micro,survey,11.344,0.262433189,2.422590709,
Latin America & Caribbean,LCN,Argentina,ARG,2009,urban,EPHC-S2,urban,2009,income,3,2003 - 2024,3,0.024477218,0.008443914,0.004413092,0.013488476,28.85580597,21.47227382,0.357584532,0.437589391,0.416451062,0.014450954,0.028518459,0.040701605,0.053151852,0.0669609,0.082606065,0.10165686,0.128110054,0.170666456,0.313176795,0.032831074,42.98624039,37051655,12285.37847,7594.534157,FALSE,micro,survey,12.036,0.259108338,2.266943378,
Latin America & Caribbean,LCN,Argentina,ARG,2010,urban,EPHC-S2,urban,2010,income,3,2003 - 2024,3,0.015344403,0.004780509,0.002526988,0.00793634,29.73861153,22.07073917,0.34710256,0.436765554,0.40920878,0.015853424,0.029582982,0.040885066,0.052955864,0.066422958,0.08215004,0.10051101,0.125224051,0.168796744,0.31761786,0.040900783,42.98624039,37510366,13387.15537,8355.492901,FALSE,micro,survey,12.335,0.256339449,2.061167197,
Latin America & Caribbean,LCN,Argentina,ARG,2011,urban,EPHC-S2,urban,2011,income,3,2003 - 2024,3,0.012077631,0.004347982,0.002414142,0.007289733,31.63231799,23.52995788,0.33010725,0.427379206,0.405165365,0.01704035,0.030643987,0.041962816,0.054124689,0.067217173,0.082868464,0.10107798,0.126373055,0.168624826,0.310066659,0.049765855,42.98624039,37970728,14040.61891,9041.51261,FALSE,micro,survey,13.065,0.244317665,1.878112494,
Latin America & Caribbean,LCN,Argentina,ARG,2012,urban,EPHC-S2,urban,2012,income,3,2003 - 2024,3,0.012695836,0.004217189,0.002470268,0.007270161,31.34879534,23.87211032,0.312453141,0.41437363,0.395440961,0.017337558,0.032209902,0.043596663,0.055575213,0.068838284,0.084848418,0.103550914,0.128141661,0.168309311,0.297592076,0.062377051,42.98624039,38418182,13754.42542,9048.432199,FALSE,micro,survey,13.236,0.237101639,1.855473126,
Latin America & Caribbean,LCN,Argentina,ARG,2013,urban,EPHC-S2,urban,2013,income,3,2003 - 2024,3,0.010892079,0.004069178,0.002412246,0.007306619,31.37429303,24.12942709,0.307242059,0.410864592,0.390507827,0.017712206,0.032231171,0.043733918,0.056054581,0.069787007,0.085556555,0.104133625,0.128464374,0.16767703,0.294649533,0.079027408,42.98624039,38856064,13946.09508,9285.049737,FALSE,micro,survey,13.365,0.241294203,1.85901543,
Latin America & Caribbean,LCN,Argentina,ARG,2014,urban,EPHC-S2,urban,2014,income,3,2003 - 2024,3,0.010590506,0.003798145,0.002280898,0.006797047,29.26186205,21.96680513,0.313846609,0.41822484,0.40279387,0.018167655,0.032001664,0.042966946,0.054200286,0.067962794,0.083480063,0.102688666,0.12830828,0.169482404,0.300741243,0.110914429,42.98624039,39314105,13456.13192,8789.234299,FALSE,micro,survey,12.283,0.239548231,1.958569211,
Latin America & Caribbean,LCN,Argentina,ARG,2016,urban,EPHC-S2,urban,2016,income,3,2003 - 2024,3,0.01269002,0.004377914,0.002479978,0.007498032,30.36297694,22.81435504,0.323868096,0.42345007,0.398315259,0.017404024,0.031273699,0.042649891,0.05447406,0.067715258,0.083041984,0.101214289,0.127032673,0.168162674,0.307031449,0.196619395,42.98624039,40224540,13265.88606,8859.072047,FALSE,micro,survey,12.707,0.243300864,1.935746481,
Latin America & Caribbean,LCN,Argentina,ARG,2017,urban,EPHC-S2,urban,2017,income,3,2003 - 2024,3,0.011142496,0.003607875,0.002046253,0.006344551,31.78885421,24.03276207,0.310648285,0.414347976,0.392098637,0.017549102,0.032566021,0.043959542,0.055716826,0.06895171,0.084142369,0.102492538,0.127281643,0.167812806,0.299527443,0.24186266,42.98624039,40634617,13520.11298,9146.511758,FALSE,micro,survey,13.316,0.231759381,1.821132651,
Latin America & Caribbean,LCN,Argentina,ARG,2018,urban,EPHC-S2,urban,2018,income,3,2003 - 2024,3,0.016383038,0.0059104,0.003154118,0.009507922,28.64973843,21.78838776,0.317066688,0.417189679,0.392384062,0.017158392,0.031782052,0.043693612,0.05554883,0.068642434,0.084405847,0.102365223,0.12763166,0.167289065,0.301482886,0.342360493,42.98624039,41024440,13058.32854,8867.825537,FALSE,micro,survey,12.194,0.239756212,2.045903799,
Latin America & Caribbean,LCN,Argentina,ARG,2019,urban,EPHC-S2,urban,2019,income,3,2003 - 2024,3,0.016846494,0.006050551,0.00335668,0.009952557,27.90027027,20.67130177,0.341771882,0.433141336,0.410733858,0.016201293,0.029993521,0.041477161,0.05314577,0.066536443,0.082255211,0.100869035,0.126989041,0.169085215,0.31344731,0.524079354,42.98624039,41371540,12706.39781,8265.532686,FALSE,micro,survey,11.636,0.251260056,2.181640761,
Latin America & Caribbean,LCN,Argentina,ARG,2020,urban,EPHC-S2,urban,2020,income,3,2003 - 2024,3,0.021969552,0.006510332,0.003279442,0.010613059,24.33879259,18.15548146,0.330036347,0.427436846,0.416146116,0.017139233,0.03025248,0.041501993,0.052909599,0.06688202,0.082770977,0.103158364,0.128358608,0.170736505,0.30629022,0.72314238,42.98624039,41626771,11393.0506,7224.405281,FALSE,micro,survey,10.378,0.261417067,2.434027965,
Latin America & Caribbean,LCN,Argentina,ARG,2021,urban,EPHC-S2,urban,2021,income,3,2003 - 2024,3,0.013630347,0.005826871,0.00347533,0.009886423,26.44470644,19.55320955,0.32407454,0.424455601,0.395626184,0.017948574,0.032305541,0.043177216,0.05452405,0.0667512,0.082031794,0.10045447,0.124943789,0.165385826,0.31247754,1.096529004,42.98624039,41791064,12549.28117,7887.282968,FALSE,micro,survey,11.077,0.239310537,2.184794682,
Latin America & Caribbean,LCN,Argentina,ARG,2022,urban,EPHC-S2,urban,2022,income,3,2003 - 2024,3,0.01294458,0.003899213,0.002065556,0.006328695,24.97616492,18.89139489,0.291318809,0.407364607,0.382429985,0.020078093,0.034320539,0.045113705,0.05607998,0.068483159,0.083247033,0.101138096,0.125835561,0.167513091,0.298190744,2.029257403,42.98624039,41932837,13182.7934,8606.910561,FALSE,micro,survey,10.746,0.230213252,2.118253762,
Latin America & Caribbean,LCN,Argentina,ARG,2023,urban,EPHC-S2,urban,2023,income,3,2003 - 2024,3,0.011574727,0.003492594,0.002142076,0.006669751,25.00216611,18.54173606,0.317105738,0.423909766,0.402161835,0.018959882,0.031580091,0.042382172,0.0536115,0.066978391,0.081977976,0.100876883,0.125939632,0.167753163,0.309940309,5.100625353,42.98624039,42106172,12933.24973,8671.60808,FALSE,micro,survey,10.571,0.249180698,2.256163773,
Latin America & Caribbean,LCN,Argentina,ARG,2024,urban,EPHC-S2,urban,2024,income,3,2003 - 2024,3,0.009636805,0.0034227,0.001996547,0.006075223,25.94390973,19.13398405,0.314592066,0.423533182,0.39876831,0.019226784,0.031993902,0.04282263,0.05399344,0.066749525,0.08106514,0.099466616,0.125644215,0.167260736,0.311777013,14.64763955,42.98624039,42305047,12667.03137,8275.594863,FALSE,micro,survey,10.867,0.241321949,2.133336661,
Europe & Central Asia,ECS,Armenia,ARM,1996,national,ILCS,national,1996,income,0,1996,3,0.21581,0.056858994,0.019962439,0.070777969,7.779700174,5.363125188,0.330655151,0.444185809,0.382680858,0.022959634,0.032357089,0.041861543,0.051872933,0.062905966,0.075751262,0.091851571,0.114447299,0.153778059,0.352214644,0.375090825,164.2264862,3278735,995.7282753,1004.703169,FALSE,group,survey,3.982,0.34376,6.395968845,
Europe & Central Asia,ECS,Armenia,ARM,1999,national,ILCS,national,1999,consumption,1,1999 - 2018,3,0.211691229,0.052384408,0.019609526,0.06723384,5.862918146,4.513008692,0.218430023,0.362197243,0.290035982,0.030441494,0.045177441,0.054017481,0.061943227,0.071628768,0.082704834,0.096620533,0.115756646,0.145465465,0.296244112,0.467538719,164.2264862,3167286,1180.45342,1186.066653,FALSE,micro,survey,3.557,0.337095272,7.057371099,
Europe & Central Asia,ECS,Armenia,ARM,2001,national,ILCS,national,2001,consumption,1,1999 - 2018,3,0.24141234,0.057719446,0.020937195,0.074031813,5.570896406,4.335291208,0.206337383,0.35364359,0.277252705,0.031956956,0.045404732,0.054950129,0.063824262,0.073175241,0.083202075,0.095148355,0.113337319,0.148451489,0.290549441,0.478433062,164.2264862,3211800,1351.120727,1356.714299,FALSE,micro,survey,3.468,0.334237029,7.336791267,
Europe & Central Asia,ECS,Armenia,ARM,2002,national,ILCS,national,2002,consumption,1,1999 - 2018,3,0.197662283,0.043271141,0.015058238,0.054576566,5.843682676,4.546867406,0.200002151,0.347796743,0.268311995,0.033374889,0.047095047,0.056050358,0.064293219,0.073107912,0.082873065,0.095237508,0.112933676,0.145076119,0.289958208,0.483504683,164.2264862,3199800,1535.204529,1474.555766,FALSE,micro,survey,3.573,0.308129827,6.844450153,
